Player,Position,Team,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Rec,ReYds,ReTD,FPTS,base,b_pass,b_rush,fum,LgPts,PosRank,VORP
Romeo Doubs,WR,NE,0.0,0.0,0.0,0.0,0.0,0.0,54.4,696.7,5.3,155.9,155.87,0.0,0.0,-0.44,155.4,50,-20.1
Jalen Coker,WR,CAR,0.0,0.0,0.0,0.0,0.0,0.0,62.5,706.7,3.7,155.4,155.37,0.0,0.0,-0.5,154.9,51,-20.6
Jakobi Meyers,WR,JAX,0.0,0.0,0.0,4.2,22.1,0.0,59.0,662.5,4.6,155.1,155.06,0.0,0.0,-0.51,154.6,52,-20.9
Kyle Monangai,RB,CHI,0.0,0.0,0.0,171.3,729.5,5.4,24.6,193.7,0.9,154.7,154.72,0.0,0.4,-1.57,153.5,36,-26.6
Isaiah Likely,TE,NYG,0.0,0.0,0.0,0.0,0.0,0.0,61.5,670.1,4.0,152.5,152.51,0.0,0.0,-0.49,152.0,11,0.0
Xavier Worthy,WR,KC,0.0,0.0,0.0,11.4,73.6,1.0,48.4,671.6,3.8,151.7,151.72,0.0,0.0,-0.48,151.2,53,-24.3
Dallas Goedert,TE,PHI,0.0,0.0,0.0,0.0,0.0,0.0,59.7,610.5,4.8,149.6,149.55,0.0,0.0,-0.48,149.1,12,-2.9
Chuba Hubbard,RB,CAR,0.0,0.0,0.0,160.7,657.6,3.9,30.7,220.6,1.3,149.7,149.72,0.0,0.1,-1.53,148.3,37,-31.8
Jake Ferguson,TE,DAL,0.0,0.0,0.0,0.0,0.0,0.0,63.9,538.2,5.0,147.7,147.72,0.0,0.0,-0.51,147.2,13,-4.8
J.K. Dobbins,RB,DEN,0.0,0.0,0.0,172.8,794.6,5.9,16.7,111.8,0.8,147.5,147.54,0.0,0.98,-1.52,147.0,38,-33.1
Jordyn Tyson,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,52.0,696.8,4.0,145.7,145.68,0.0,0.0,-0.42,145.3,54,-30.2
Dalton Kincaid,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.0,55.5,649.0,4.2,145.6,145.6,0.0,0.0,-0.44,145.2,14,-6.8
Khalil Shakir,WR,BUF,0.0,0.0,0.0,2.2,12.1,0.0,58.0,643.0,3.5,144.5,144.51,0.0,0.0,-0.48,144.0,55,-31.5
Rachaad White,RB,WAS,0.0,0.0,0.0,122.4,513.7,3.8,36.3,244.0,1.7,145.1,145.07,0.0,0.0,-1.27,143.8,39,-36.3
Jacory Croskey-Merritt,RB,WAS,0.0,0.0,0.0,180.1,779.2,6.2,16.1,112.4,0.3,144.3,144.26,0.0,0.81,-1.57,143.5,40,-36.6
Juwan Johnson,TE,NO,0.0,0.0,0.0,0.0,0.0,0.0,58.5,614.5,3.3,139.8,139.75,0.0,0.0,-0.47,139.3,15,-12.7
Hunter Henry,TE,NE,0.0,0.0,0.0,0.0,0.0,0.0,52.7,588.5,4.6,139.2,139.15,0.0,0.0,-0.42,138.7,16,-13.3
Denzel Boston,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,52.7,659.0,3.4,139.0,139.0,0.0,0.0,-0.42,138.6,56,-36.9
Mark Andrews,TE,BAL,0.0,0.0,0.0,6.8,20.1,0.7,47.6,513.3,5.6,138.7,138.74,0.0,0.0,-0.44,138.3,17,-13.7
Aaron Jones Sr.,RB,MIN,0.0,0.0,0.0,129.9,562.0,3.0,33.3,242.1,1.3,139.5,139.51,0.0,0.01,-1.31,138.2,41,-41.9
Keenan Allen,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,53.6,620.0,3.4,136.0,136.0,0.0,0.0,-0.43,135.6,57,-39.9
Rashid Shaheed,WR,SEA,0.0,0.0,0.0,11.8,67.8,0.7,42.3,616.8,3.5,136.0,135.96,0.0,0.0,-0.43,135.5,58,-40.0
Deebo Samuel Sr.,WR,SF,0.0,0.0,0.0,15.9,64.5,0.8,46.1,573.7,3.3,134.5,134.52,0.0,0.0,-0.5,134.0,59,-41.5
Tre Tucker,WR,LV,0.0,0.0,0.0,9.0,50.0,0.2,47.4,626.4,3.0,134.2,134.24,0.0,0.0,-0.45,133.8,60,-41.7
Dalton Schultz,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.0,57.9,558.0,3.4,134.1,134.1,0.0,0.0,-0.46,133.6,18,-18.4
Woody Marks,RB,HOU,0.0,0.0,0.0,146.8,590.2,3.4,27.5,212.5,1.0,134.2,134.17,0.0,0.02,-1.39,132.8,42,-47.3
Jalen McMillan,WR,TB,0.0,0.0,0.0,4.1,24.3,0.1,46.1,599.5,3.9,132.5,132.48,0.0,0.0,-0.4,132.1,61,-43.4
Chig Okonkwo,TE,WAS,0.0,0.0,0.0,0.0,0.0,0.0,56.4,584.7,2.8,131.7,131.67,0.0,0.0,-0.45,131.2,19,-20.8
Brenton Strange,TE,JAX,0.0,0.0,0.0,0.0,0.0,0.0,53.2,557.5,3.7,131.2,131.15,0.0,0.0,-0.43,130.7,20,-21.3
Michael Penix Jr.,QB,ATL,2184.9,11.4,6.7,23.1,88.2,0.9,0.0,0.0,0.0,140.5,133.82,0.0,0.0,-4.25,129.6,31,-129.9
Dontayvion Wicks,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,45.9,592.0,4.0,129.1,129.1,0.0,0.0,-0.37,128.7,62,-46.8
T.J. Hockenson,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.0,59.5,513.3,2.8,127.6,127.63,0.0,0.0,-0.48,127.2,21,-24.8
Jonah Coleman,RB,DEN,0.0,0.0,0.0,128.4,539.2,4.9,23.2,167.8,0.8,128.1,128.1,0.0,0.0,-1.21,126.9,43,-53.2
Mike Washington Jr.,RB,LV,0.0,0.0,0.0,138.9,577.4,3.7,25.4,179.3,0.7,127.5,127.47,0.0,0.01,-1.31,126.2,44,-53.9
Adonai Mitchell,WR,NYJ,0.0,0.0,0.0,2.5,11.7,0.0,43.6,605.0,3.4,125.7,125.67,0.0,0.0,-0.37,125.3,63,-50.2
Kenyon Sadiq,TE,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,51.3,530.9,3.5,125.4,125.39,0.0,0.0,-0.41,125.0,22,-27.0
Kayshon Boutte,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,41.9,570.0,4.1,123.5,123.5,0.0,0.0,-0.34,123.2,64,-52.3
Keaton Mitchell,RB,LAC,0.0,0.0,0.0,106.0,495.9,3.3,25.8,199.0,1.1,121.7,121.69,0.0,0.0,-1.05,120.6,45,-59.5
Tre' Harris,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0,43.4,553.7,3.6,120.4,120.37,0.0,0.0,-0.35,120.0,65,-55.5
Malachi Fields,WR,NYG,0.0,0.0,0.0,0.0,0.0,0.0,43.2,553.3,3.2,117.7,117.73,0.0,0.0,-0.35,117.4,66,-58.1
Chris Rodriguez Jr.,RB,JAX,0.0,0.0,0.0,158.5,683.7,4.8,11.5,81.2,0.3,118.6,118.59,0.0,0.18,-1.36,117.4,46,-62.7
Shedeur Sanders,QB,CLE,1958.8,9.4,7.6,27.7,135.5,1.1,0.0,0.0,0.0,128.5,120.9,0.0,0.0,-4.02,116.9,32,-142.6
Jalen Nailor,WR,LV,0.0,0.0,0.0,1.0,5.3,0.0,42.4,554.0,3.1,116.9,116.93,0.0,0.0,-0.35,116.6,67,-58.9
Ja'Kobi Lane,WR,BAL,0.0,0.0,0.0,0.0,0.0,0.0,38.9,544.1,3.8,116.1,116.11,0.0,0.0,-0.31,115.8,68,-59.7
Terrance Ferguson,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.0,39.3,496.8,4.4,115.4,115.38,0.0,0.0,-0.31,115.1,23,-36.9
Pat Bryant,WR,DEN,0.0,0.0,0.0,0.0,0.0,0.0,43.1,518.2,3.4,115.3,115.32,0.0,0.0,-0.34,115.0,69,-60.5
Greg Dulcich,TE,MIA,0.0,0.0,0.0,0.0,0.0,0.0,48.4,514.4,2.5,114.8,114.84,0.0,0.0,-0.39,114.5,24,-37.5
Cyrus Allen,WR,KC,0.0,0.0,0.0,1.7,7.6,0.0,42.2,535.4,3.0,114.5,114.5,0.0,0.0,-0.35,114.1,70,-61.4
Ryan Flournoy,WR,DAL,0.0,0.0,0.0,1.1,6.8,0.0,42.3,496.7,3.6,114.3,114.25,0.0,0.0,-0.35,113.9,71,-61.6
AJ Barner,TE,SEA,0.0,0.0,0.0,6.1,12.2,0.2,45.3,443.2,3.7,114.2,114.24,0.0,0.0,-0.41,113.8,25,-38.2
Tyjae Spears,RB,TEN,0.0,0.0,0.0,79.5,334.6,2.3,34.8,245.1,1.3,114.4,114.37,0.0,0.0,-0.91,113.5,47,-66.6
Omar Cooper Jr.,WR,NYJ,0.0,0.0,0.0,0.9,5.1,0.0,41.8,516.5,3.2,113.2,113.16,0.0,0.0,-0.34,112.8,72,-62.7
Cade Otton,TE,TB,0.0,0.0,0.0,0.0,0.0,0.0,48.2,478.9,2.8,112.9,112.89,0.0,0.0,-0.39,112.5,26,-39.5
