PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Auction,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Matthew Golden,WR,GB,3.5460648352,,0,0,0,0,0,3.3,18.8,0,,89,56.8,747.1,4.3,159.2
Malik Willis,QB,MIA,3.4483973656,,319,504.5,3473.5,15.1,12.6,105.7,567.6,3.7,,0,0,0,0,265.7
Chig Okonkwo,TE,WAS,3.4255224797,,0,0,0,0,0,0,0,0,,75.2,56.4,584.7,2.8,131.7
Aaron Jones Sr.,RB,MIN,3.3402635275,,0,0,0,0,0,129.9,562,3,,43.2,33.3,242.1,1.3,139.5
Brenton Strange,TE,JAX,3.3271045536,,0,0,0,0,0,0,0,0,,76.6,53.2,557.5,3.7,131.2
Jayden Reed,WR,GB,3.1682744038,,0,0,0,0,0,7.3,49.1,0.1,,81.7,57.8,678.1,4.3,156.9
Romeo Doubs,WR,NE,3.0345326122,,0,0,0,0,0,0,0,0,,79.8,54.4,696.7,5.3,155.9
Jalen Coker,WR,CAR,2.9671533899,,0,0,0,0,0,0,0,0,,90.1,62.5,706.7,3.7,155.4
Jakobi Meyers,WR,JAX,2.9367164491,,0,0,0,0,0,4.2,22.1,0,,91,59,662.5,4.6,155.1
Woody Marks,RB,HOU,2.8073665103,,0,0,0,0,0,146.8,590.2,3.4,,37.8,27.5,212.5,1,134.2
T.J. Hockenson,TE,MIN,2.7214836868,,0,0,0,0,0,0,0,0,,76.2,59.5,513.3,2.8,127.6
Xavier Worthy,WR,KC,2.5861488257,,0,0,0,0,0,11.4,73.6,1,,81,48.4,671.6,3.8,151.7
Daniel Jones,QB,IND,2.5861488257,,325.2,491.5,3563.2,19.3,11.2,61.9,249.7,4.3,,0,0,0,0,259.3
Kenyon Sadiq,TE,NYJ,2.4135001309,,0,0,0,0,0,0,0,0,,69,51.3,530.9,3.5,125.4
Jonah Coleman,RB,DEN,2.1608677975,,0,0,0,0,0,128.4,539.2,4.9,,34.8,23.2,167.8,0.8,128.1
Mike Washington Jr.,RB,LV,2.0945594351,,0,0,0,0,0,138.9,577.4,3.7,,34.9,25.4,179.3,0.7,127.5
Baker Mayfield,QB,TB,2.0013966658,,303,472.5,3415.1,23.3,11.1,52,279.7,1.2,,0,0,0,0,253.9
Jordyn Tyson,WR,NO,1.9334724612,,0,0,0,0,0,0,0,0,,85.4,52,696.8,4,145.7
Khalil Shakir,WR,BUF,1.8416672419,,0,0,0,0,0,2.2,12.1,0,,76.2,58,643,3.5,144.5
Sam Darnold,QB,SEA,1.8184736031,,322.5,491.5,3814.1,23.4,12,41.7,121.2,1,,0,0,0,0,252.3
Keaton Mitchell,RB,LAC,1.6489290915,,0,0,0,0,0,106,495.9,3.3,,35.5,25.8,199,1.1,121.7
Denzel Boston,WR,CLE,1.3947696819,,0,0,0,0,0,0,0,0,,84.4,52.7,659,3.4,139
Chris Rodriguez Jr.,RB,JAX,1.390415227,,0,0,0,0,0,158.5,683.7,4.8,,17.3,11.5,81.2,0.3,118.6
Terrance Ferguson,TE,LAR,1.2367004497,,0,0,0,0,0,0,0,0,,62.6,39.3,496.8,4.4,115.4
C.J. Stroud,QB,HOU,1.2032285598,,316.1,496,3636.6,20.5,11.7,50.3,214.6,1.3,,0,0,0,0,245
Tyjae Spears,RB,TEN,1.1983761479,,0,0,0,0,0,79.5,334.6,2.3,,42.5,34.8,245.1,1.3,114.4
Greg Dulcich,TE,MIA,1.1486598739,,0,0,0,0,0,0,0,0,,71.1,48.4,514.4,2.5,114.8
Rashid Shaheed,WR,SEA,1.1121945492,,0,0,0,0,0,11.8,67.8,0.7,,69.8,42.3,616.8,3.5,136
Keenan Allen,WR,IND,1.1121945492,,0,0,0,0,0,0,0,0,,84.7,53.6,620,3.4,136
AJ Barner,TE,SEA,1.0849180838,,0,0,0,0,0,6.1,12.2,0.2,,61.5,45.3,443.2,3.7,114.2
Brandon Aubrey,K,DAL,1.0659010363,,0,0,0,0,0,0,0,0,,0,0,0,0,180.8
Cameron Dicker,K,LAC,1.058723251,,0,0,0,0,0,0,0,0,,0,0,0,0,163.1
Ka'imi Fairbairn,K,HOU,1.0574341174,,0,0,0,0,0,0,0,0,,0,0,0,0,161.5
Seattle Seahawks,DST,SEA,1.0573116825,,0,0,0,0,0,0,0,0,,0,0,0,0,123.7
Cam Little,K,JAX,1.0572702514,,0,0,0,0,0,0,0,0,,0,0,0,0,161.3
Jason Myers,K,SEA,1.0569490097,,0,0,0,0,0,0,0,0,,0,0,0,0,160.9
Chase McLaughlin,K,TB,1.0568036567,,0,0,0,0,0,0,0,0,,0,0,0,0,160.7
Eddy Pineiro,K,SF,1.0555445581,,0,0,0,0,0,0,0,0,,0,0,0,0,158.9
Houston Texans,DST,HOU,1.0543574316,,0,0,0,0,0,0,0,0,,0,0,0,0,121.5
Chris Boswell,K,PIT,1.053003262,,0,0,0,0,0,0,0,0,,0,0,0,0,156.1
Los Angeles Rams,DST,LAR,1.0513430504,,0,0,0,0,0,0,0,0,,0,0,0,0,120.1
Harrison Mevis,K,LAR,1.0513430504,,0,0,0,0,0,0,0,0,,0,0,0,0,154.6
Denver Broncos,DST,DEN,1.0507854395,,0,0,0,0,0,0,0,0,,0,0,0,0,119.9
Philadelphia Eagles,DST,PHI,1.0491475604,,0,0,0,0,0,0,0,0,,0,0,0,0,119.4
Jake Bates,K,DET,1.0487948036,,0,0,0,0,0,0,0,0,,0,0,0,0,152.6
Los Angeles Chargers,DST,LAC,1.0484127968,,0,0,0,0,0,0,0,0,,0,0,0,0,119.2
Pittsburgh Steelers,DST,PIT,1.0480626104,,0,0,0,0,0,0,0,0,,0,0,0,0,119.1
Minnesota Vikings,DST,MIN,1.0469410898,,0,0,0,0,0,0,0,0,,0,0,0,0,118.8
Will Reichard,K,MIN,1.0429759282,,0,0,0,0,0,0,0,0,,0,0,0,0,150.3
Jacksonville Jaguars,DST,JAX,1.0426368023,,0,0,0,0,0,0,0,0,,0,0,0,0,118
Evan McPherson,K,CIN,1.0408850234,,0,0,0,0,0,0,0,0,,0,0,0,0,149.8
Baltimore Ravens,DST,BAL,1.0375381435,,0,0,0,0,0,0,0,0,,0,0,0,0,117.6
New England Patriots,DST,NE,1.0337345699,,0,0,0,0,0,0,0,0,,0,0,0,0,117.5
Green Bay Packers,DST,GB,1.0337345699,,0,0,0,0,0,0,0,0,,0,0,0,0,117.5
Deebo Samuel Sr.,WR,SF,1.024276801,,0,0,0,0,0,15.9,64.5,0.8,,72.8,46.1,573.7,3.3,134.5
Tyler Allgeier,RB,ARZ,0,,0,0,0,0,0,133,538.7,3.8,,24.5,19.2,132,0.3,110.9
Emmett Johnson,RB,KC,0,,0,0,0,0,0,101.2,417.5,3,,34.2,24.9,178.1,0.8,107.3
Tank Bigsby,RB,PHI,0,,0,0,0,0,0,117.2,526.9,4,,11.2,9,63.5,0.3,93.8
Zach Charbonnet,RB,SEA,0,,0,0,0,0,0,95.6,390.4,4.2,,20.1,15.4,111.3,0.4,93.2
